Show Number, Air Date, Round, Category, Value, Question, Answer
6169,2011-06-09,Double Jeopardy!,ANIMAL NAMES,$1600,"This scarab relative, often seen at night, is named for the time of year when it's most prevalent",a junebug
1890,1992-11-20,Jeopardy!,SIGNS & SIGNALS,$200,"In this game, a tug on the ear means ""sounds like"", and a touch on the nose: ""you're right""",Charades
4474,2004-02-05,Double Jeopardy!,ART,$1200,"The Van Eyck bros. weren't the 1st to use these paints, though sometimes creditied with it; they date back much earlier",oils
4875,2005-11-18,Jeopardy!,"HELLO, ALEX",$800,"His ""Gulag Archipelago"" led to his arrest & forced deportation",Aleksandr Solzhenitsyn
5518,2008-09-10,Jeopardy!,LET'S SPEAK PORTUGUESE,$1000,"A casa de fado is a restaurant that also features this, as the ""fado"" tells you",songs
4926,2006-01-30,Jeopardy!,CELEBRITY HIGH SCHOOL YEARBOOK,$800,"<a href=""http://www.j-archive.com/media/2006-01-30_J_04.jpg"" target=""_blank"">This</a> actress has total recall of her high school days in Pennsylvania, as a self-described uber-geek & outsider",Sharon Stone
3758,2000-12-27,Double Jeopardy!,ENGLISH LIT,$400,"This hero gets adopted in the last chapter, so the book could have been called ""Oliver Brownlow""",Oliver Twist
734,1987-11-12,Jeopardy!,LYRICS,$500,"""Lay Down, Sally"", and do this",rest you in my arms (rest here in my arms accepted)
1424,1990-11-08,Jeopardy!,GEMS,$300,"Many of the red stones are classified as the ""fire"" variety of this fiery gem come from Mexico",opals
5537,2008-10-07,Double Jeopardy!,HIDDEN BIRDPLAY,$800,"After the party, keg returns are easier",an egret (in keg returns)
5307,2007-10-09,Double Jeopardy!,WHERE WORDS COME FROM,$800,Latin: This device you open when it's precipitating,an umbrella
5185,2007-03-09,Double Jeopardy!,"ON THE ""TELE""",$1200,Things that are at a distance appear closer when you use this type of camera lens,telephoto
3930,2001-10-05,Double Jeopardy!,A BRIEF HISTORY OF RHYME,$400,"""Fiddling"" Roman emperor's admired people",Nero's heroes
2880,1997-02-21,Double Jeopardy!,COLLEGES & UNIVERSITIES,$800,"This Hanover, New Hampshire college was established in 1770 when Eleazer Wheelock erected a single log hut",Dartmouth
4512,2004-03-30,Jeopardy!,PRESIDENTIAL FACTS,$200,In 1937 he made his first movie,Ronald Reagan
5544,2008-10-16,Double Jeopardy!,"O CAPTAIN, MY POP CULTURE CAPTAIN",$1200,"Daniel J. Travanti tried to be ""careful out there"" as Captain Furillo on this show",Hill Street Blues
3929,2001-10-04,Jeopardy!,CLASSIC ADS & JINGLES,$400,"""...Tough kids, sissy kids, even kids with chicken pox love"" these",Armour Hot Dogs
5735,2009-07-10,Double Jeopardy!,FAMOUS TRIALS,$800,"Stabbed during his capture at Harpers Ferry, this abolitionist spent most of his 1859 trial lying on a cot",John Brown
5686,2009-05-04,Jeopardy!,I WANT TO RIDE THAT!,$200,"The Pitt Fall is a scary free fall ride at Kennywood, near this second-largest Pennsylvania city",Pittsburgh
5840,2010-01-22,Jeopardy!,WYATT EARP,$400,Wyatt was working as a railroad detective when John Shanssey introduced him to this sometime dentist,Doc Holliday
3846,2001-04-30,Double Jeopardy!,LIT ON FILM,"$1,700","Rumpelstiltskin is a character in the 1962 fantasy ""The Wonderful World of"" these German brothers",the Grimm brothers
5108,2006-11-22,Jeopardy!,POLITICAL COMEBACKS,$200,He lost a presidential election & a gubernatorial election before winning the White House in 1968,Nixon
1290,1990-03-23,Double Jeopardy!,THE ENVIRONMENT,$1000,"In 1978 the U.S. banned use of these, called CFCs for short, as propellants in most spray cans",Chloroflourocarbons
5138,2007-01-03,Double Jeopardy!,OPERA CHARACTERS,$800,"In an 1893 opera, Peter is the father of these gingerbread-gorgers",Hansel & Gretel
5306,2007-10-08,Double Jeopardy!,BODIES OF WATER,$1600,"This river flows about 1,150 miles from Lake Hazar in Turkey through Baghdad, on its way to the Persian Gulf",the Tigris
5195,2007-03-23,Jeopardy!,PEOPLE YOU CAN EAT,$800,This turn-of-the-century opera diva has had a peach & ice cream dessert & a type of toast named for her,Nellie Melba
6138,2011-04-27,Jeopardy!,MISSING LYRICS,$1000,"""What goes up must come down, ___ ___ got to go 'round""",spinning wheel
4360,2003-07-11,Jeopardy!,ODDS & ENDS,$1000,The Latin name of this ocean creature is Xiphias gladius,swordfish
2584,1995-11-23,Jeopardy!,NATIONAL STATUARY HALL,$300,This state is represented by a monarch,Hawaii
5464,2008-05-15,Double Jeopardy!,VARMINTS,$1600,These nocturnal ringtailed mammals find that a chimney makes an excellent den,raccoons
4640,2004-11-06,Jeopardy!,I WANT MY SUV,$400,Grand Cherokee,Jeep
