Category,Value,Question,Answer,class
ANIMAL NAMES,$1600,"This scarab relative, often seen at night, is named for the time of year when it's most prevalent",a junebug,Science/Geography
SIGNS & SIGNALS,$200,"In this game, a tug on the ear means ""sounds like"", and a touch on the nose: ""you're right""",Charades,Sports
ART,$1200,"The Van Eyck bros. weren't the 1st to use these paints, though sometimes creditied with it; they date back much earlier",oils,Non-Fiction
"HELLO, ALEX",$800,"His ""Gulag Archipelago"" led to his arrest & forced deportation",Aleksandr Solzhenitsyn,Non-Fiction
LET'S SPEAK PORTUGUESE,$1000,"A casa de fado is a restaurant that also features this, as the ""fado"" tells you",songs,Non-Fiction
CELEBRITY HIGH SCHOOL YEARBOOK,$800,"<a href=""http://www.j-archive.com/media/2006-01-30_J_04.jpg"" target=""_blank"">This</a> actress has total recall of her high school days in Pennsylvania, as a self-described uber-geek & outsider",Sharon Stone,Non-Fiction
ENGLISH LIT,$400,"This hero gets adopted in the last chapter, so the book could have been called ""Oliver Brownlow""",Oliver Twist,Fiction
LYRICS,$500,"""Lay Down, Sally"", and do this",rest you in my arms (rest here in my arms accepted),Fiction
GEMS,$300,"Many of the red stones are classified as the ""fire"" variety of this fiery gem come from Mexico",opals,Science/Geography
HIDDEN BIRDPLAY,$800,"After the party, keg returns are easier",an egret (in keg returns),Science/Geography
WHERE WORDS COME FROM,$800,Latin: This device you open when it's precipitating,an umbrella,Non-Fiction
"ON THE ""TELE""",$1200,Things that are at a distance appear closer when you use this type of camera lens,telephoto,Non-Fiction
A BRIEF HISTORY OF RHYME,$400,"""Fiddling"" Roman emperor's admired people",Nero's heroes,Non-Fiction
COLLEGES & UNIVERSITIES,$800,"This Hanover, New Hampshire college was established in 1770 when Eleazer Wheelock erected a single log hut",Dartmouth,Non-Fiction
PRESIDENTIAL FACTS,$200,In 1937 he made his first movie,Ronald Reagan,Non-Fiction
"O CAPTAIN, MY POP CULTURE CAPTAIN",$1200,"Daniel J. Travanti tried to be ""careful out there"" as Captain Furillo on this show",Hill Street Blues,Fiction
CLASSIC ADS & JINGLES,$400,"""...Tough kids, sissy kids, even kids with chicken pox love"" these",Armour Hot Dogs,Fiction
FAMOUS TRIALS,$800,"Stabbed during his capture at Harpers Ferry, this abolitionist spent most of his 1859 trial lying on a cot",John Brown,Non-Fiction
I WANT TO RIDE THAT!,$200,"The Pitt Fall is a scary free fall ride at Kennywood, near this second-largest Pennsylvania city",Pittsburgh,Non-Fiction
WYATT EARP,$400,Wyatt was working as a railroad detective when John Shanssey introduced him to this sometime dentist,Doc Holliday,Fiction
LIT ON FILM,"$1,700","Rumpelstiltskin is a character in the 1962 fantasy ""The Wonderful World of"" these German brothers",the Grimm brothers,Fiction
POLITICAL COMEBACKS,$200,He lost a presidential election & a gubernatorial election before winning the White House in 1968,Nixon,Non-Fiction
THE ENVIRONMENT,$1000,"In 1978 the U.S. banned use of these, called CFCs for short, as propellants in most spray cans",Chloroflourocarbons,Non-Fiction
OPERA CHARACTERS,$800,"In an 1893 opera, Peter is the father of these gingerbread-gorgers",Hansel & Gretel,Fiction
BODIES OF WATER,$1600,"This river flows about 1,150 miles from Lake Hazar in Turkey through Baghdad, on its way to the Persian Gulf",the Tigris,Sports
PEOPLE YOU CAN EAT,$800,This turn-of-the-century opera diva has had a peach & ice cream dessert & a type of toast named for her,Nellie Melba,Non-Fiction
MISSING LYRICS,$1000,"""What goes up must come down, ___ ___ got to go 'round""",spinning wheel,Fiction
ODDS & ENDS,$1000,The Latin name of this ocean creature is Xiphias gladius,swordfish,Science/Geography
NATIONAL STATUARY HALL,$300,This state is represented by a monarch,Hawaii,Non-Fiction
VARMINTS,$1600,These nocturnal ringtailed mammals find that a chimney makes an excellent den,raccoons,Science/Geography
I WANT MY SUV,$400,Grand Cherokee,Jeep,Non-Fiction
I'M FUNEMPLOYED,$200,Move over Rachel Zoe--I love to work with celebs as this type of stylist (Angelina's fitting is today!),a fashion stylist,Non-Fiction
TRANSPORTATION,$1000,"This light Russian sleigh, whose name means ""a group of 3"", is pulled by 3 horses",a troika,Non-Fiction
BAYS,$800,"The eastern coast of this bay has many good ports, including Sittwe, Myanmar",Bay of Bengal,Science/Geography
MOVIE LOCALES,$1200,"""Ferris Bueller's Day Off""",Chicago,Fiction
NIGHTLY NEWS WORDS,$400,"Yes, I was picturing the scene <a href=""http://www.j-archive.com/media/2009-02-17_J_10.jpg"" target=""_blank"">here</a> before I found this term meant an ex-CEO's sweet benefits",a golden parachute,Non-Fiction
SO GREAT THEY NEED 2 NICKNAMES,$200,"Before he was Magic he was June Bug, because he's Earvin Junior","""Magic"" Johnson",Sports
MY MAINE MAN!,$600,"Born in Bar Harbor on July 8, 1908, he succeeded Gerald Ford as VP",Rockefeller,Non-Fiction
"APRES ""SKI""",$400,"A-line, mini & peasant are 3 types",skirts,Non-Fiction
